"Total_Volume","Total_Voids","Total_Mean","Primary_Voids","Primary_Mean","Micro_Voids","Micro_Mean"
"IMG_4881_areas.csv",108.566827375748,2,54.2834136878741,1,101.842200249857,1,6.72462712589082
"IMG_4882_areas.csv",212.80461889749,3,70.9348729658302,1,207.24964080153,2,2.77748904798004
"IMG_4883_areas.csv",220.884378124951,4,55.2210945312377,2,107.502497199396,2,2.93969186307893
"IMG_4884_areas.csv",268.35620519846,4,67.089051299615,2,126.846954356829,2,7.33114824240067
"IMG_4885_areas.csv",0,0,0,0,0,0,0
"IMG_4886_areas.csv",256.042384524204,2,128.021192262102,2,128.021192262102,0,0
"IMG_4887_areas.csv",180.890737553853,6,30.1484562589754,2,76.5334181746021,4,6.95597530116208
"IMG_4888_areas.csv",183.147086964148,8,22.8933858705185,2,79.331634550118,6,4.08063631065204
"IMG_4889_areas.csv",223.849181336222,6,37.3081968893704,2,99.7725748178008,4,6.07600792515518
"IMG_4890_areas.csv",728.94061960571,9,80.9934021784122,2,349.721407976814,7,4.21397195029757
"IMG_4891_areas.csv",201.210369855178,10,20.1210369855178,2,80.5351684941983,8,5.01750410834762
"IMG_4892_areas.csv",151.680818833749,2,75.8404094168744,1,144.337424227189,1,7.34339460655955
"IMG_4893_areas.csv",16.9913292510087,2,8.49566462550434,0,0,2,8.49566462550434
"IMG_4894_areas.csv",757.015129916108,6,126.169188319351,3,247.142610222711,3,5.19576641599191
"IMG_4895_areas.csv",1254.81460835069,18,69.7119226861495,4,284.636538986029,14,8.3048894576124
"IMG_4896_areas.csv",328.94462590697,1,328.94462590697,1,328.94462590697,0,0
"IMG_4897_areas.csv",1093.46663549301,8,136.683329436627,4,268.830429901307,4,4.53622897194648
"IMG_4898_areas.csv",0,0,0,0,0,0,0
"IMG_4899_areas.csv",413.355014742911,4,103.338753685728,3,136.749370489792,1,3.10690327353436
"IMG_4900_areas.csv",90.5735044475631,1,90.5735044475631,1,90.5735044475631,0,0
"IMG_4901_areas.csv",93.5003204366805,2,46.7501602183402,2,46.7501602183402,0,0
"IMG_4902_areas.csv",196.960806782377,1,196.960806782377,1,196.960806782377,0,0
"IMG_4903_areas.csv",232.604152182842,4,58.1510380457105,2,110.652090755484,2,5.64998533593667
"IMG_4904_areas.csv",170.06094500921,1,170.06094500921,1,170.06094500921,0,0
"IMG_4905_areas.csv",698.942428531442,37,18.8903359062552,6,83.8932982777577,31,6.30911738273857
"IMG_4906_areas.csv",423.67927571126,8,52.9599094639076,4,99.1419608803675,4,6.77785804744763
"IMG_4907_areas.csv",531.434171116935,5,106.286834223387,4,131.62897704598,1,4.91826293301625
"IMG_4908_areas.csv",337.147249490701,4,84.2868123726754,4,84.2868123726754,0,0
"IMG_4909_areas.csv",289.227746630087,9,32.1364162922318,1,243.976044898022,8,5.65646271650812
